"Construction cost (or producer prices), new residential buildings - annual data [sts_copi_a]",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update,30.09.22,,,,,,,,,,,,,,,,,,,,,,,,,
Extracted on,18.10.22,,,,,,,,,,,,,,,,,,,,,,,,,
Source of data,Eurostat,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIC_BT,Construction cost index - in national currency,,,,,,,,,,,,,,,,,,,,,,,,,
NACE_R2,"Residential buildings, except residences for communities",,,,,,,,,,,,,,,,,,,,,,,,,
S_ADJ,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),,,,,,,,,,,,,,,,,,,,,,,,,
UNIT,Percentage change compared to same period in previous year,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1: Annual growth rates, construction cost indices for new residential buildings, 2005 - 2021,",,,,,,,,,,,,,,,,,,,,,,,,,,
 unadjusted data,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,2008-2009,Average annual rates,,2011-2016,Average annual rates,,2017 2018,Average annual rates
EU,2.8,3.7,4.4,4.1,0.4,1.9,3.3,1.9,0.7,0.6,0.8,0.8,2.3,2.8,1.8,1.0,6.5,,104.5,2.23,,108.3,1.62,,107.1,2.30
EA-19,2.8,3.4,4.0,4.0,0.4,1.9,3.3,1.8,0.6,0.5,0.7,0.7,2.2,2.5,1.5,1.0,6.4,,104.4,2.18,,107.8,1.52,,106.3,2.07
Belgium,2.9,4.8,4.5,2.4,-1.1,0.0,3.9,1.9,0.2,1.1,1.6,1.6,1.3,2.5,2.5,1.7,:,,101.3,0.63,,110.7,2.06,,106.4,2.10
Bulgaria,8.3,6.0,6.6,12.5,7.5,-1.3,0.6,-0.6,1.4,0.7,1.3,0.8,2.5,2.9,5.0,2.2,12.2,,120.9,9.97,,104.3,0.84,,110.7,3.46
Czechia,3.8,2.1,4.7,3.6,-0.3,1.1,1.8,0.5,-0.4,1.2,0.0,0.3,2.7,4.1,5.5,2.1,8.3,,103.3,1.63,,103.4,0.68,,112.8,4.09
Denmark,2.4,4.8,6.3,2.9,-0.3,1.1,3.6,2.6,1.5,1.6,1.9,1.6,0.8,1.8,0.8,0.8,4.0,,102.6,1.29,,113.5,2.56,,103.4,1.13
Germany,1.5,2.4,3.3,3.3,0.3,2.2,3.7,2.0,0.7,0.9,1.3,1.3,3.3,3.4,2.0,1.5,7.3,,103.6,1.79,,110.3,1.98,,108.9,2.90
Estonia,6.3,10.4,12.8,3.5,-8.5,-2.6,3.4,4.3,5.0,0.2,0.9,-0.4,1.2,1.9,1.9,0.5,9.4,,94.7,-2.68,,114.0,2.66,,105.1,1.67
Ireland,8.7,9.6,1.8,-7.7,-9.9,0.5,-2.2,1.0,0.8,0.6,0.5,0.4,1.3,4.0,2.3,1.1,:,,83.2,-8.81,,101.1,0.21,,107.8,2.53
Greece,3.4,4.3,4.5,5.1,-0.3,1.8,1.0,-0.1,-1.4,-3.0,-2.3,-1.7,0.2,0.6,0.1,0.1,3.3,,104.8,2.36,,92.7,-1.51,,100.9,0.30
Spain,4.7,6.9,5.0,4.7,1.1,2.5,3.8,-0.3,0.3,0.2,-1.4,-1.3,2.1,2.5,1.1,-0.8,8.4,,105.9,2.88,,101.2,0.24,,105.8,1.90
France,2.4,6.9,4.0,7.7,-2.7,1.2,5.4,2.5,-1.0,0.2,-0.6,0.7,1.9,2.3,2.7,1.4,:,,104.8,2.37,,107.3,1.41,,107.1,2.30
Croatia,4.7,1.8,11.6,10.4,-8.1,-5.3,1.4,-2.6,-5.7,0.3,3.2,-1.1,-0.3,1.7,4.3,6.0,:,,101.5,0.73,,95.3,-0.95,,105.8,1.88
Italy,4.0,2.8,3.6,3.8,0.9,1.5,3.1,2.3,0.6,-0.1,0.4,0.3,0.6,1.3,0.6,0.6,3.9,,104.7,2.34,,106.7,1.31,,102.5,0.83
Cyprus,4.4,5.1,4.9,8.0,0.8,3.2,3.4,0.9,-4.0,-1.9,-0.8,-0.8,0.1,1.3,2.2,0.3,6.4,,108.9,4.34,,96.7,-0.67,,103.6,1.20
Latvia,11.9,36.6,22.4,8.7,-7.7,-7.5,2.6,3.0,4.1,0.7,3.3,5.7,2.5,4.5,4.8,7.3,6.8,,100.3,0.16,,121.0,3.88,,112.3,3.93
Lithuania,8.3,10.7,16.1,9.6,-14.5,-4.8,3.8,3.1,4.5,3.2,2.1,2.2,4.2,3.5,4.9,2.0,6.6,,93.7,-3.20,,120.4,3.79,,113.1,4.20
Luxembourg,3.1,2.8,2.9,3.2,1.5,0.8,2.5,2.9,2.0,1.7,1.1,1.0,1.9,1.8,3.0,3.1,:,,104.7,2.35,,111.7,2.24,,106.8,2.23
Hungary,3.5,5.9,7.6,7.5,3.0,-0.3,0.6,4.8,4.7,2.4,3.4,1.6,6.9,5.3,9.9,10.9,15.7,,110.7,5.23,,118.7,3.50,,123.7,7.35
Malta,1.3,1.4,10.5,2.3,1.6,-2.6,1.5,2.3,1.6,2.5,1.1,2.2,1.7,1.2,1.0,0.4,12.4,,103.9,1.95,,111.7,2.24,,103.9,1.30
Netherlands,1.3,3.3,4.0,4.6,0.3,0.3,1.9,2.3,0.2,0.9,1.3,1.6,2.3,2.5,2.8,2.2,4.5,,104.9,2.43,,108.5,1.64,,107.8,2.53
Austria,2.1,4.6,4.5,5.3,0.6,3.2,2.3,2.2,1.8,1.1,1.5,0.6,3.5,2.9,1.1,0.8,10.4,,105.9,2.92,,109.9,1.90,,107.7,2.49
Poland,3.1,1.7,7.0,6.9,0.2,-0.1,1.2,0.3,-1.6,-1.0,-0.6,-0.2,0.8,3.1,4.2,2.9,:,,107.1,3.50,,98.1,-0.38,,108.3,2.69
Portugal,1.8,3.3,3.5,6.2,-2.2,1.6,1.5,0.6,1.2,0.7,1.2,1.2,1.8,2.3,2.4,1.9,5.8,,103.9,1.91,,106.6,1.28,,106.6,2.17
Romania,14.6,11.0,10.0,16.2,1.6,1.9,9.0,6.4,-4.3,-0.5,-0.7,0.8,7.8,11.7,9.8,2.0,9.2,,118.1,8.66,,110.5,2.02,,132.2,9.76
Slovenia,4.6,6.1,6.9,6.6,-3.1,5.7,4.5,-1.2,-1.1,-0.5,0.7,-1.2,4.8,2.7,3.1,1.3,10.7,,103.3,1.63,,101.1,0.22,,111.0,3.53
Slovakia,4.7,4.0,4.2,5.7,2.1,-0.1,0.7,0.1,0.6,0.9,1.4,1.1,2.8,3.8,4.5,2.9,:,,107.9,3.88,,104.9,0.96,,111.5,3.70
Finland,3.3,3.8,5.8,3.9,-1.1,1.1,3.3,2.5,0.9,1.0,0.5,0.5,0.3,2.3,1.0,-0.2,5.4,,102.8,1.37,,109.0,1.74,,103.6,1.20
Sweden,3.9,5.0,6.1,4.9,2.0,2.6,3.0,2.6,1.7,0.8,2.2,2.2,2.6,3.9,2.8,-0.2,6.3,,107.0,3.44,,113.2,2.50,,109.6,3.10
Norway,3.3,3.8,7.4,5.7,2.3,3.1,3.7,3.0,2.9,3.3,2.6,2.8,2.5,3.1,2.7,2.4,8.7,,108.1,3.99,,119.7,3.67,,108.5,2.77
Switzerland,2.3,2.6,3.9,3.9,0.0,-0.1,2.0,0.2,0.2,0.4,-0.6,-0.7,0.0,1.0,0.8,0.5,:,,103.9,1.93,,101.5,0.30,,101.8,0.60
Montenegro,20.6,36.3,25.1,14.0,-14.9,-4.3,6.6,-14.7,2.9,-3.4,-6.8,-8.1,6.5,3.6,7.0,-10.8,:,,97.0,-1.50,,77.4,-4.99,,118.1,5.69
North Macedonia,:,8.9,2.5,4.6,6.0,-2.2,5.1,1.6,1.9,-0.3,-1.7,-2.4,4.9,6.0,2.6,1.2,13.1,,110.9,5.30,,104.1,0.80,,114.1,4.49
Albania,1.3,1.1,2.6,1.3,0.0,0.3,0.4,0.7,0.9,0.3,0.3,0.0,0.7,0.6,0.2,0.3,1.9,,101.3,0.65,,102.6,0.52,,101.5,0.50
Turkey,8.7,15.9,8.4,13.8,-4.1,5.7,12.4,5.5,5.2,10.5,5.9,12.8,14.3,25.2,17.9,12.9,40.7,,109.1,4.47,,164.7,10.49,,168.7,19.05
,,,,,,,,,,,,,,,,,,,,,,,,,,
Special value : not available,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Eurostat (online data code: sts_copi_a),,,,,,,,,,,,,,,,,,,,,,,,,,
